source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity
2559620330243581312,21.076128321081246,2.756239926410451,1.2407939780429207,1.7969742e-2,69.049065,-5.694321425285781,1.8623946e-2,-7.3599246056628775,1.5626218e-2,0.9295605,13.228814,13.53101,12.765996,0.7650137,-25.182323
2534396120457543936,21.167318845466067,1.0912386789840491,1.2456763442809693,2.5525123e-2,48.80197,9.981035457729508,2.9936919e-2,5.969978807800202,2.4119219e-2,1.1201639,14.399061,14.764534,13.8640785,0.9004555,8.637764
2560105249231251968,21.390103413656572,3.5532902252481935,1.2548684227793574,2.8354691e-2,44.25611,20.057428408896193,3.3706002e-2,-10.032393685384843,1.623468e-2,0.99414194,14.905476,15.272597,14.300469,0.9721279,
2563534488559311232,21.063762452714656,4.839383070548184,1.2563242994355366,2.4012944e-2,52.31863,15.157346199081458,2.8911477e-2,8.2212940629657,1.8766722e-2,0.9756718,14.550849,14.914657,14.02258,0.8920765,6.87379
2559369950830039936,21.86092487737889,2.4067669447368294,1.2636446869726101,2.1708125e-2,58.21068,2.7940379566666302,2.3256002e-2,-9.95365768141532,1.3543577e-2,0.9822091,14.016288,14.318009,13.545721,0.7722883,24.133411
2559410770199171840,21.593212649912687,2.5207296440080045,1.264907773925796,1.6670408e-2,75.87743,14.274318248830479,1.6327156e-2,-6.700738973298803,8.62694e-3,0.9444654,13.102501,13.407349,12.63166,0.7756882,-24.78867
2563273285828085376,21.659208161107237,4.506552769456423,1.2808793137495222,1.6040454e-2,79.85306,-3.7269585200640014,1.7649619e-2,-18.34554401790339,1.0120063e-2,0.9341584,13.327412,13.656689,12.829382,0.82730675,28.916365
2558410042819223936,21.527380538037193,1.1676873738874276,1.2866700398307094,1.6720146e-2,76.95328,28.325058473271007,2.0093087e-2,-1.248697074900716,1.03408e-2,0.9948751,13.347229,13.595445,12.794582,0.8008623,78.86908
2558418735833015808,21.171595848318383,1.1553921311792685,1.2890462255402122,4.8890576e-2,26.365944,12.303410736610306,5.4474704e-2,-2.771924503199935,4.066924e-2,2.7035964,13.413833,13.69991,12.969321,0.7305889,28.47296
2560041237038695296,21.614363162842835,3.414515287324819,1.2899270268277654,1.7096344e-2,75.45046,0.9259527449571301,1.8094799e-2,-9.032928813180176,1.02095455e-2,1.0093762,12.690871,12.952264,12.281557,0.67070675,-15.129502
2560124937361354880,21.702307953353277,3.6725897972942576,1.2906405054035595,1.7549343e-2,73.54352,4.544127864238391,1.9559983e-2,-16.06034392059773,9.852798e-3,1.0507399,13.591104,13.899362,13.122942,0.77641964,12.085645
2559709940441258112,21.428501978341792,3.2778281234542668,1.290828990412723,2.0753168e-2,62.199135,-15.165217787173242,2.4218991e-2,-17.65369141950922,1.276914e-2,0.97323996,14.016877,14.3532095,13.506898,0.84631157,-37.795464
2563121312705350528,21.208840113038136,3.800325996032621,1.2956230394623647,2.5552118e-2,50.705112,28.18760071653419,2.7893731e-2,2.5576362390973983,1.9659854e-2,1.0016208,14.764275,15.134372,14.224697,0.90967464,
2563151377476415488,21.405800211139113,4.024840067275981,1.3060551408121348,1.7565528e-2,74.35331,2.494801037117224,2.0946441e-2,2.3676036624082424,1.0237306e-2,0.9927257,13.366861,13.684746,12.884269,0.800477,56.191887
2559182037421048576,21.395240691296678,1.460813078524662,1.306073936529416,1.4437009e-2,90.46707,-8.494633540685994,1.7972779e-2,-13.721574932966089,1.1917276e-2,1.0361025,13.19419,13.507728,12.714897,0.79283047,-63.663525
2563281669604267008,21.845631968419816,4.621991372307189,1.3060992510435625,2.6650442e-2,49.00854,-6.573431547567227,2.3164125e-2,1.680892548551506,1.0531051e-2,1.0070491,13.511118,13.802406,13.056789,0.7456169,40.554962
2558406194528529152,21.662884075658077,1.1244796474135978,1.309569383486788,2.443965e-2,53.5838,-7.3839926171108035,2.8907737e-2,-3.9008404554031464,1.3150064e-2,1.0101653,14.487875,14.813129,13.992925,0.82020473,-39.351078
2563268471169493504,21.923058950271262,4.547051424221792,1.310132411299893,2.1420037e-2,61.16387,27.93517925070269,1.958455e-2,-26.88572462652469,1.0548077e-2,1.1072259,12.259844,12.539407,11.821855,0.7175522,38.01149
2563250917638440960,21.072067260559454,4.692742132049286,1.311644224079708,2.128401e-2,61.6258,-1.8189512688369938,2.6332635e-2,-15.755514662177598,1.6708622e-2,0.9579491,13.958093,14.303764,13.4498415,0.85392284,-42.81159
2560118237212344576,21.354894607993092,3.7962311736888923,1.3196230208458033,1.6991572e-2,77.66339,17.65954710975589,1.9584805e-2,-10.232654681285121,1.1288269e-2,0.996421,13.756453,14.074804,13.274154,0.8006506,12.16035
2560046940755264000,21.695304736569323,3.4242419241117,1.3204138565552093,2.5454039e-2,51.87443,6.67614613263107,2.8767606e-2,4.39971018429967,1.6176365e-2,1.0055159,14.779793,15.149354,14.223671,0.925683,
2563246584015881344,21.151115100551923,4.6318924637010275,1.3209120582448899,2.0839034e-2,63.386433,-2.0767920494141596,2.643203e-2,-12.496648482002094,1.3320983e-2,1.0855879,12.722857,12.991465,12.300087,0.69137764,-18.085373
2559172549837843328,21.093594086383064,1.3192899247612058,1.323502043544633,2.1073781e-2,62.803257,24.71932657465269,2.670307e-2,-2.1071229001923952,2.0072842e-2,1.0145437,13.991523,14.308249,13.508375,0.7998743,-16.766874
